current x
"(-1.2, 1)"
"(-1.1752808988764043, 1.3806741573033707)"
"(0.7638734681418828, -3.1768134966351353)"
"(0.7641858503625089, 0.5839787437405155)"
"(0.9997610307809855, 0.9440260523917027)"
"(0.9997805508181543, 0.9995610830964223)"
"(0.9999998945580671, 0.9999997407630025)"
"(0.9999999999880671, 0.9999999999761524)"
