current x,alpha
"(-1.2, 1)",1.0041854195764697
"(-1.175177439066649, 1.3822674383736042)",0.07467605232766614
"(-0.959501342134088, 0.8752605356662512)",1.386992324264402
"(-0.6897612231728014, 0.4205728004364117)",2.5358776017366726
"(-0.3338684204655642, 0.0695856651675838)",1.989845041944576
"(-0.05079799566311566, -0.03609077946088757)",2.4084073516319444
"(0.2389523731439545, 0.02760774444621858)",2.204473505246651
"(0.4821651297804409, 0.20885124120667664)",2.4897894405581837
"(0.7073183891569751, 0.4848118633910488)",2.478068292560875
"(0.884311288518264, 0.7735711723566276)",2.755609621493311
"(1.0030001157363886, 1.006731593235466)",0.9603565332437858
"(0.9996321137141972, 0.999281658033596)",0.995673049639749
"(0.9999997145513893, 0.9999993691070529)",0.9999631387011699
"(1.0000000000408653, 1.0000000000797935)",1.0000309242682603
