x
[4.00000000 1.00000000 ]
[1.60982030 1.98419164 ]
[0.88376483 0.22093736 ]
[0.35567549 0.43838795 ]
[0.19525692 0.04881177 ]
[0.07858175 0.09685579 ]
[0.04313907 0.01078405 ]
[0.01736145 0.02139874 ]
[0.00953077 0.00238246 ]
[0.00383567 0.00472762 ]
[0.00210562 0.00052634 ]
[0.00084741 0.00104446 ]
[0.00046518 0.00011628 ]
[0.00018721 0.00023075 ]
[0.00010277 0.00002569 ]
[0.00004136 0.00005098 ]
[0.00002270 0.00000568 ]
[0.00000914 0.00001126 ]
[0.00000502 0.00000125 ]
[0.00000202 0.00000249 ]
[0.00000111 0.00000028 ]
[0.00000045 0.00000055 ]
[0.00000045 0.00000055 ]
