current x,alpha
"(-1.2, 1)",0.0007880005372110485
"(-1.030107084177298, 1.0693440472745723)",0.1326322118200573
"(-0.9410042790583383, 0.8512053763557282)",0.9191607572799743
"(-0.7139179425407784, 0.45533885182067513)",2.390038108164539
"(-0.36877157768123564, 0.09240146274911082)",2.0818856343760426
"(-0.07553385301395305, -0.033123078202534045)",2.342791341784194
"(0.2119214510284897, 0.014418724128934725)",2.243351302849529
"(0.46098351821526384, 0.18838620579806648)",2.4434395494502716
"(0.6871223864261018, 0.45581311198499247)",2.49255884841594
"(0.8699915252495075, 0.7478087669368478)",2.7738521908130287
"(0.9981162206157784, 0.9959206844136431)",1.0234940619905197
"(0.9999281037722576, 0.9998603332340645)",0.9993116339318059
"(0.9999999861215119, 0.9999999698260584)",0.9999998919453401
"(1.0000000000000104, 1.0000000000000202)",-0.3975586664763229
